"Id","cls","title","group"
"21",0.000938967136150235," The Time Machine"," DVD"
"3464",0.000925069380203515," Ultimate Sniper"," Video"
"7628",0.000903342366757001," Stories for a Teacher's Heart (Stories For the Heart)"," Book"
"481",0.000884955752212389," A Major Case: A Novel by Pete Deer"," Book"
"8",0.000860585197934596," Losing Matt Shepard"," Book"
"445",0.000850340136054422," An Affair of Sorcerers"," Book"
"18",0.000816326530612245," Sol to Soul"," Music"
"9106",0.00081366965012205," A Touch Of Tranquility"," Music"
"13304",0.000807754442649435," Whodunit Math Puzzles"," Book"
"23",0.000801924619085806," Strange Fire: A Novel"," Book"
"7611",0.00079428117553614," Barney - More Barney Songs (Clamshell)"," Video"
"1241",0.000788643533123028," Accessible Physics"," Book"
"1079",0.000784313725490196," A Dictionary of Birds"," Book"
"303",0.000781860828772478," Singin' Some Soul"," Music"
"6383",0.000772200772200772," Chinese Kara-Ho Kempo: Fundamental Practice and Techniques"," Book"
"837",0.000769822940723634," Before You Remarry"," Book"
"302",0.000768639508070715," Slowing Down to the Speed of Life: How To Create A More Peaceful, Simpler Life From the Inside Out"," Book"
"210",0.000768049155145929," Farewell, Nikola"," Book"
"480",0.00076219512195122," Gunfighter Ballads & Trail Songs"," Music"
"10745",0.000759301442672741," Popeye - The Sailor: When Popeye Ruled the Seven Seas"," Video"
"4248",0.000753579502637528," Housebound With Rick Geary"," Book"
"176",0.000753012048192771," Avengers '67 - Set 1, Vols. 1 & 2"," DVD"
"594",0.000752445447705041," Nat King Cole Trio: Instrumental Classics"," Music"
"3820",0.000748502994011976," Thomas Eakins Rediscovered : Charles Bregler`s Thomas Eakins Collection at the Pennsylvania Academy of the Fine Arts"," Book"
"482",0.000747384155455904," Thematic Learning Adventures for Young Children: Weekly Integrated Curriculum Units for the Whole Year (Kids' Stuff)"," Book"
"2555",0.000745712155108128," The Glass Menagerie CD"," Book"
"22",0.000745156482861401," Come What May"," Music"
"6464",0.000745156482861401," Halcyon Days"," Music"
"99",0.000745156482861401," An Employee's Guide to Stock Options"," Book"
"785",0.000743494423791822," Sing A Powerful Song"," Music"
"33",0.000742942050520059," Double Jeopardy (T*Witches, 6)"," Book"
"6",0.000741289844329133," How the Other Half Lives: Studies Among the Tenements of New York"," Book"
"719",0.000739644970414201," Chinese Bible-FL"," Book"
"1673",0.000735835172921266," Abandonment to Divine Providence"," Book"
"20",0.000730994152046784," Computed Tomography : Fundamentals, System Technology, Image Quality, Applications"," Book"
"902",0.000730460189919649," The National Geographic Traveler: Florida (National Geographic Traveler)"," Book"
"342",0.00072992700729927," Clinical Reflexology: A Guide for Health Professionals"," Book"
"696",0.00072992700729927," Effective Literacy Instruction K-8: Implementing Best Practice (5th Edition)"," Book"
"1466",0.000729394602479942," Handbook of Air Pollution Prevention and Control, First Edition"," Book"
"429",0.000723065798987708," R.E.M. : Talk About the Passion : An Oral History (Updated Edition)"," Book"
"7303",0.000723065798987708," Everyone's Way of the Cross"," Book"
"5",0.000722543352601156," Prayers That Avail Much for Business: Executive"," Book"
"37",0.000719424460431655," Mark Messier - Leader, Champion & Legend"," DVD"
"4429",0.000718907260963336," Harley-Davidson Panheads, 1948-1965/M418"," Book"
"24258",0.000717875089734386," When Rappers Attack"," Music"
"30",0.000716845878136201," Solving Statics Problems with MathCAD"," Book"
"12276",0.000715819613457409," Trash Culture: Popular Culture and the Great Tradition"," Book"
"1436",0.000715819613457409," Solo Pienso en Ti"," Music"
"97",0.000714796283059328," Year of the Tiger"," Book"
"450",0.000714285714285714," The Exorcist"," Book"
"687",0.000714285714285714," Movies As Politics"," Book"
"819",0.000714285714285714," Waiting for Time"," Book"
"37503",0.000713266761768902," ESPN SportsCentury"," Book"
"449",0.000712250712250712," Audubon 365 Birds Page-A-Day Calendar 2002"," Book"
"35",0.000711743772241993," Burnt Toast on Davenport Street"," Book"
"1824",0.000710227272727273," Asian Traditions Modern Expressions"," Book"
"3173",0.000704225352112676," Divine Intervention (Reis)"," Music"
"4697",0.000701754385964912," Logic, or the Right Use of Reason in the Inquiry After Truth With a Variety of Rules to Guard Against Error in the Affairs of Religion and Human Life, (Great Awakening Writings (1725-1760))"," Book"
"2609",0.000700770847932726," Mystery at Chilkoot Pass (American Girl History Mysteries)"," Book"
"44846",0.000700280112044818," It Takes a Worried Man: A Memoir"," Book"
"1408",0.000698812019566737," Immunology at a Glance (At a Glance (Blackwell))"," Book"
"21771",0.000698812019566737," Welding Essentials: Questions & Answers (Expanded Edition)"," Book"
"1963",0.000697836706210747," The Bishop's Boys: A Life of Wilbur and Orville Wright"," Book"
"8459",0.000697350069735007," Declassfied Grooves"," Music"
"17538",0.000695410292072323," Three Black Skirts : All You Need To Survive"," Book"
"36623",0.000695410292072323," Japanese (Teach Yourself)"," Book"
"8458",0.000695410292072323," Making Their Own Way: Narratives for Transforming Higher Education to Promote Self-Development"," Book"
"337",0.000693962526023595," The Face of the River"," Book"
"9103",0.000687757909215956," Finding Your Roots Online"," Book"
"9119",0.000686341798215511," Shades of Redd"," Music"
"54391",0.000684462696783025," Olé Coltrane"," Music"
"34",0.00068212824010914," Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1"," Music"
"32",0.000681663258350375," Staff Meals from Chanterelle"," Book"
"56395",0.000680272108843537," Blue Collar Women: Trailblazing Women Take on Men-Only Jobs"," Book"
"9626",0.000679809653297077," Let's Dance [ECD]"," Music"
"7543",0.000679347826086957,NA,NA
"2563",0.000677966101694915," Blind Descent: : An Anna Pigeon Mystery (Anna Pigeon Mysteries (Paperback))"," Book"
"4777",0.000677966101694915," Never Love a Cowboy"," Book"
"9628",0.000677966101694915," Lodger"," Music"
"78",0.000676132521974307," The Ebony Cookbook: A Date With a Dish"," Book"
"8939",0.000669792364367046," Gene Chandler - 20 Greatest Hits"," Music"
"93",0.000669344042838019," BizPricer¿ Business Valuation Manual w/Software"," Book"
"12757",0.000664893617021277," Classics"," Music"
"1964",0.000663129973474801," Gourmet Vinegars: How to Make and Cook With Them"," Book"
"2824",0.000661375661375661," English Country (Architecture and Design Library)"," Book"
"151",0.000660938532716457," Laurel & Hardy - Flying Deuces/Utopia"," DVD"
"569",0.000654878847413229," Color and Light in Nature"," Book"
"331",0.000652315720808871," Practical Skywatching (Nature Companion Series)"," Book"
"6488",0.000648929266709929," The Worm Ouroboros: A Romance"," Book"
"2558",0.000648508430609598," Behold the Beauty of the Lord"," Book"
"4931",0.000647668393782383," The Model Engineer's Handbook"," Book"
"8645",0.000647249190938511," Thick As Thieves"," DVD"
"94",0.000645994832041344," The American Heritage Dictionary of Idioms"," Book"
"518",0.000644329896907216," Jazz Steppin'"," Music"
"95",0.000643915003219575," The Heavy Flak Guns, 1933-1945: 88Mm, 105Mm, 128Mm, 150Mm, and Ballistic Directional Equipment"," Book"
"56",0.000643500643500643," Three Bricks Shy of a Load: A Collection of True Stories About Ordinary People Doing Really Dumb Stuff!"," Book"
"517",0.000642260757867694," Sacred Steel Live!"," Music"
"848",0.000642260757867694," Waiting to Disappear"," Book"
"626",0.00064143681847338," Wong's Essentials of Pediatric Nursing (Workbook)"," Book"
"627",0.00064143681847338," Junie B., First Grader: Cheater Pants (Junie B. Jones, 21)"," Book"
